"id","question_text","option1","option2","option3","option4","question_type","correct_option"
1,"A patient received a severe blow on the inferolateral side of the left knee joint while playing football. Radiographic examination confirmed a fracture of the head and neck of the fibula. Which of the following nerves is most vulnerable for damage?","Tibial","Deep peroneal","Common peroneal","Superficial peroneal","surgery","Common peroneal"
2,"A 19-year-old fell on an outstretched hand while playing football. Examination confirmed tenderness over the anatomic snuff box. Which of the following is the most suspected fracture?","Colles","Cuboid","Scaphoid","Hook of hamate","surgery","Scaphoid"
3,"A 45-year-old man had transurethral catheterization before a long surgical procedure. Postoperatively he developed hematuria and a urethral injury is suspected. Which part of the urethra is most likely injured?","Penile","Prostatic","Membranous","Middle spongy","surgery","Membranous"
4,"A patient presented after a blunt injury over the left leg. Examination confirmed sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which nerve is most likely injured?","Sural","Saphenous","Deep peroneal","Posterior tibial","surgery","Deep peroneal"
5,"A 60-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker with long-standing diabetes and hypertension. Abdominal exam reveals a pulsatile supra-umbilical mass. What is the most likely diagnosis?","Abdominal aortic aneurysm","Secondary liver metastasis","Renal cell carcinoma","Peri-umbilical hernia","surgery","Abdominal aortic aneurysm"
6,"A patent received a severe blow on the inferolateral side of the left knee joint while playing football. Radiographic examination confirmed a fracture of the head and neck of the fibula. Which of the following nerves is most vulnerable for damaged?","Tibial","Deep peroneal","Common peroneal","Superficial peroneal","surgery","Common peroneal"
7,"A 19-year-old felt on an outstretched hand while playing football. examination confirmed tenderness over the anatomic snuff box. Which of the following is the most suspected fracture?","Colles","Cuboi","Scaphoid","Hook of hamate","surgery","Scaphoid"
8,"A 45-year-old man had transurethral catheterization before going for a long surgical procedure. Postoperatively he developed haematuria and a urethral injury is suspected. Which of the following is most likely injured part of urethera?","Penile","Prostatic","Membranous","Middle spongy","surgery","Membranous"
9,"A patent presented after a blunt injury over the left leg. examination confirmed a sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which of the following nerves is most likely injured?","Sural","Saphenous","Deep peroneal","Posterior tibial","surgery","Deep peroneal"
10,"A 60-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker and has long-standing diabetes and hypertension. Abdominal examination reveals a pulsatile supra-umbilical mass. Which of the following is the most likely diagnosis?","Abdominal aortic aneurysm","Secondary liver metastasis","Renal cell carcinoma","Peri-umbilical hernia","surgery","Abdominal aortic aneurysm"
11,"A 45-year-old man presented to the Emergency Department complaining of lower abdominal pain for 3 days. He gave a history of being hit by a piece of wood in the same site of pain 4 days back. Examination revealed lethargic patient in pain, which was aggravated by moving his leg. there was grayish turbid semipurulent secretions from a small break in the skin of right lower quadrant (see lab result). Test Result Normal Values WBC 33.1 4.5-10.5x109/L Which of the following is the most appropriate next step in the management?","Observation","Surgical drainage","CT scan abdomen","Culture and sensitivity for secretions","surgery","Surgical drainage"
12,"A 37-year-old man was involved in a fight and sustained a stab wound to the neck. On presentation, patient was conscious, alert. Examination showed a 2 cm wound anterior to the left ear and close to the angle of the mandible with blood ooze. which of the following is the most appropriate next step?","Chest X ray","Observation","CTA of the neck","Exploration of the wound","surgery","CTA of the neck"
13,"A 19-year-old woman brought to the Emergency Department after being stabbed to the right upper quadrant. On arrival, she was conscious and oriented. Examination showed only a penetrating wound to the anterior abdominal wall at anterior axillary line just below the right costal margin. Which of the following is the most appropriate next step?","Observation","CT scan abdomen","Ultrasound abdomen","Exploratory laparotomy","surgery","CT scan abdomen"
14,"A 25-year-old man brought to the Emergency Department after he was involved in motor vehicle crash, which was driving at a speed of 130 km/hour. Patient was wearing seat belt. On arrival to the Emergency Department, he was conscious, and alert (see report). Chest X-ray: Normal. Which of the following is the most appropriate next step?","US abdomen","CT scan abdomen","Diagnostic laparoscopy","Exploratory Laparotomy","surgery","CT scan abdomen"
15,"A 33-year-old man was involved in a motor vehicle crash. On arrival to the Emergency Department, he was conscious and alert. Examination showed an open wound to the anterior surface of the neck with devitalized tissue. Blood pressure 100/60 mmHg Heart rate 104/min Respiratory rate 28/min Oxygen saturation 87% Which of the following is the most appropriate next step?","Oxygen mask","Tracheostomy","Cricothyroidotomy","Endotracheal intubation","surgery","Endotracheal intubation"
16,"A 56-year-old woman was exposed to chemical burns to her trunk. On arrival to the Emergency Department, she was conscious and alert. Examination showed a 6cm x 11cm wound at her back with burned clothe and powder of chemicals on her clothes and skin. Which of the following is most appropriate next step after removing her clothes?","Antibiotics","Powder sweeping","Surgical debridement","Water irrigation for 30 minutes","surgery","Powder sweeping"
17,"A 23-year-old man presented to the Emergency Department after he fell down from 3 m height on his right leg. Examination revealed a deformity of right leg with an open wound in the mid-leg and devitalized tissue and dirt in the wound. The leg was put in a splint. Blood pressure 112/70 mmHg Heart rate 99/min Respiratory rate 22/min Oxygen saturation 95% Which of the following is the most appropriate next step?","Antibiotics","External fixator","Surgical debridement","Urgent internal fixation","surgery","Surgical debridement"
18,"A 17-year-old man had a crush injury to his left leg after a heavy object fell on it, 5 hours prior to presentation. He was complaining of severe pain in his leg. Examination revealed a conscious and alert patient. His left leg was cold with delayed capillary refilling. Blood pressure 116/67 mmHg Heart rate 95/min Respiratory rate 23/min Oxygen saturation 95% Which of the following is the most appropriate next step?","Angiography","CT angiography","Duplex ultrasound","Compartment pressure","surgery","Compartment pressure"
19,"A 37-year-old man presented to the Emergency Department with vomiting blood after attacks of excessive vomiting (see lab results). Blood pressure 112/63 mmH Heart rate 89/min Respiratory rate 21/min Oxygen saturation 96% Test Result Normal Values Hb 135 130-170 g/L (Male) 120-160 g/L (Female) WBC 7.8 8 4.5-10.5x109/L Which of the following is the most appropriate management plan?","Upper Gl endoscopy","Conservative treatment","Exploratory laparotomy","Sengstaken-blakmore tube","surgery","Conservative treatment"
20,"A 63-year-old woman presented to the Surgical Clinic complaining of upper abdominal pain and shortness of breath and occasional attacks of palpitation after meals, for several years. These symptoms relieved by vomiting. Which of the following is the most appropriate method of investigations?","CT scan abdomen","Upper Gi endoscopy","Plain abdominal X-Ray","Upper GI barium study","surgery","Upper GI barium study"
21,"A 40-year-old woman presented with heartburn at the epigastric and retrosternal areas, and symptoms of regurgitation. The patient has tried conservative measures, including proton pumps inhibitors with no improvement in symptoms (see report). Endoscopy: Erythema of the esophagus consistent with reflux esophagitis. Which of the following is the most appropriate next step?","Manometry study","24-hour pH monitoring","Lifestyle modification","Nissin\s fundoplication","surgery","Lifestyle modification"
22,"A 73-year-old woman underwent percutaneous trans-hepatic cholangiography for treatment of obstructive jaundice. 24 hours after the procedure, she started to have upper gastrointestinal bleeding (see lab results). Blood pressure 105/62 mmHg Heart rate 89/min Respiratory rate 22/min Oxygen saturation 94% Test Result Normal Values Hb 103 130-170 g/L (Male) 120-160 g/L (Female) WBC 7.8 4.5-10.5 x 109/L Which of the following is the most appropriate next step in the management plan?","CT scan","Endoscopy","Ultrasound","Angiography","surgery","Angiography"
