id,question_text,option1,option2,option3,option4,question_type,correct_option,source
1,A patient received a severe blow on the inferolateral side of the left knee joint while playing football. Radiographic examination confirmed a fracture of the head and neck of the fibula. Which of the following nerves is most vulnerable for damage?,Tibial,Deep peroneal,Common peroneal,Superficial peroneal,surgery,Common peroneal,general
2,A 19-year-old fell on an outstretched hand while playing football. Examination confirmed tenderness over the anatomic snuff box. Which of the following is the most suspected fracture?,Colles,Cuboid,Scaphoid,Hook of hamate,surgery,Scaphoid,general
3,A 45-year-old man had transurethral catheterization before a long surgical procedure. Postoperatively he developed hematuria and a urethral injury is suspected. Which part of the urethra is most likely injured?,Penile,Prostatic,Membranous,Middle spongy,surgery,Membranous,general
4,"A patient presented after a blunt injury over the left leg. Examination confirmed sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which nerve is most likely injured?",Sural,Saphenous,Deep peroneal,Posterior tibial,surgery,Deep peroneal,general
6,A patent received a severe blow on the inferolateral side of the left knee joint while playing football. Radiographic examination confirmed a fracture of the head and neck of the fibula. Which of the following nerves is most vulnerable for damaged?,Tibial,Deep peroneal,Common peroneal,Superficial peroneal,surgery,Common peroneal,general
7,A 19-year-old felt on an outstretched hand while playing football. examination confirmed tenderness over the anatomic snuff box. Which of the following is the most suspected fracture?,Colles,Cuboi,Scaphoid,Hook of hamate,surgery,Scaphoid,general
4572,"A 20-year-old with perforated appendix, septic shock, on inotropes. Most accurate ASA class?",ASA I,ASA II,ASA III,ASA IV,surgery,ASA IV,general
9,"A patent presented after a blunt injury over the left leg. examination confirmed a sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which of the following nerves is most likely injured?",Sural,Saphenous,Deep peroneal,Posterior tibial,surgery,Deep peroneal,general
10,A 60-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker and has long-standing diabetes and hypertension. Abdominal examination reveals a pulsatile supra-umbilical mass. Which of the following is the most likely diagnosis?,Abdominal aortic aneurysm,Secondary liver metastasis,Renal cell carcinoma,Peri-umbilical hernia,surgery,Abdominal aortic aneurysm,general
11,"A 45-year-old man presented to the Emergency Department complaining of lower abdominal pain for 3 days. He gave a history of being hit by a piece of wood in the same site of pain 4 days back. Examination revealed lethargic patient in pain, which was aggravated by moving his leg. there was grayish turbid semipurulent secretions from a small break in the skin of right lower quadrant (see lab result). Test Result Normal Values WBC 33.1 4.5-10.5x109/L Which of the following is the most appropriate next step in the management?",Observation,Surgical drainage,CT scan abdomen,Culture and sensitivity for secretions,surgery,Surgical drainage,general
12,"A 37-year-old man was involved in a fight and sustained a stab wound to the neck. On presentation, patient was conscious, alert. Examination showed a 2 cm wound anterior to the left ear and close to the angle of the mandible with blood ooze. which of the following is the most appropriate next step?",Chest X ray,Observation,CTA of the neck,Exploration of the wound,surgery,CTA of the neck,general
13,"A 19-year-old woman brought to the Emergency Department after being stabbed to the right upper quadrant. On arrival, she was conscious and oriented. Examination showed only a penetrating wound to the anterior abdominal wall at anterior axillary line just below the right costal margin. Which of the following is the most appropriate next step?",Observation,CT scan abdomen,Ultrasound abdomen,Exploratory laparotomy,surgery,CT scan abdomen,general
14,"A 25-year-old man brought to the Emergency Department after he was involved in motor vehicle crash, which was driving at a speed of 130 km/hour. Patient was wearing seat belt. On arrival to the Emergency Department, he was conscious, and alert (see report). Chest X-ray: Normal. Which of the following is the most appropriate next step?",US abdomen,CT scan abdomen,Diagnostic laparoscopy,Exploratory Laparotomy,surgery,CT scan abdomen,general
15,"A 33-year-old man was involved in a motor vehicle crash. On arrival to the Emergency Department, he was conscious and alert. Examination showed an open wound to the anterior surface of the neck with devitalized tissue. Blood pressure 100/60 mmHg Heart rate 104/min Respiratory rate 28/min Oxygen saturation 87% Which of the following is the most appropriate next step?",Oxygen mask,Tracheostomy,Cricothyroidotomy,Endotracheal intubation,surgery,Endotracheal intubation,general
16,"A 56-year-old woman was exposed to chemical burns to her trunk. On arrival to the Emergency Department, she was conscious and alert. Examination showed a 6cm x 11cm wound at her back with burned clothe and powder of chemicals on her clothes and skin. Which of the following is most appropriate next step after removing her clothes?",Antibiotics,Powder sweeping,Surgical debridement,Water irrigation for 30 minutes,surgery,Powder sweeping,general
17,A 23-year-old man presented to the Emergency Department after he fell down from 3 m height on his right leg. Examination revealed a deformity of right leg with an open wound in the mid-leg and devitalized tissue and dirt in the wound. The leg was put in a splint. Blood pressure 112/70 mmHg Heart rate 99/min Respiratory rate 22/min Oxygen saturation 95% Which of the following is the most appropriate next step?,Antibiotics,External fixator,Surgical debridement,Urgent internal fixation,surgery,Surgical debridement,general
18,"A 17-year-old man had a crush injury to his left leg after a heavy object fell on it, 5 hours prior to presentation. He was complaining of severe pain in his leg. Examination revealed a conscious and alert patient. His left leg was cold with delayed capillary refilling. Blood pressure 116/67 mmHg Heart rate 95/min Respiratory rate 23/min Oxygen saturation 95% Which of the following is the most appropriate next step?",Angiography,CT angiography,Duplex ultrasound,Compartment pressure,surgery,Compartment pressure,general
54,A 60-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker and has long-standing diabetes and hypertension. Abdominal examination reveals a pulsatile supra-umbilical mass. What is the most likely diagnosis?,Abdominal aortic aneurysm,Secondary liver metastasis,Renal cell carcinoma,Peri-umbilical hernia,surgery,Abdominal aortic aneurysm,general
5,A 61-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker with long-standing diabetes and hypertension. Abdominal exam reveals a pulsatile supra-umbilical mass. What is the most likely diagnosis?,Abdominal aortic aneurysm,Secondary liver metastasis,Renal cell carcinoma,Peri-umbilical hernia,surgery,Abdominal aortic aneurysm,general
4573,A 40-year-old man with advanced colonic cancer. Most common site of metastasis?,Lung,Liver,Thyroid,Prostate,medicine,Liver,general
19,A 37-year-old man presented to the Emergency Department with vomiting blood after attacks of excessive vomiting (see lab results). Blood pressure 112/63 mmH Heart rate 89/min Respiratory rate 21/min Oxygen saturation 96% Test Result Normal Values Hb 135 130-170 g/L (Male) 120-160 g/L (Female) WBC 7.8 8 4.5-10.5x109/L Which of the following is the most appropriate management plan?,Upper Gl endoscopy,Conservative treatment,Exploratory laparotomy,Sengstaken-blakmore tube,surgery,Conservative treatment,general
20,"A 63-year-old woman presented to the Surgical Clinic complaining of upper abdominal pain and shortness of breath and occasional attacks of palpitation after meals, for several years. These symptoms relieved by vomiting. Which of the following is the most appropriate method of investigations?",CT scan abdomen,Upper Gi endoscopy,Plain abdominal X-Ray,Upper GI barium study,surgery,Upper GI barium study,general
21,"A 40-year-old woman presented with heartburn at the epigastric and retrosternal areas, and symptoms of regurgitation. The patient has tried conservative measures, including proton pumps inhibitors with no improvement in symptoms (see report). Endoscopy: Erythema of the esophagus consistent with reflux esophagitis. Which of the following is the most appropriate next step?",Manometry study,24-hour pH monitoring,Lifestyle modification,Nissin\s fundoplication,surgery,Lifestyle modification,general
22,"A 73-year-old woman underwent percutaneous trans-hepatic cholangiography for treatment of obstructive jaundice. 24 hours after the procedure, she started to have upper gastrointestinal bleeding (see lab results). Blood pressure 105/62 mmHg Heart rate 89/min Respiratory rate 22/min Oxygen saturation 94% Test Result Normal Values Hb 103 130-170 g/L (Male) 120-160 g/L (Female) WBC 7.8 4.5-10.5 x 109/L Which of the following is the most appropriate next step in the management plan?",CT scan,Endoscopy,Ultrasound,Angiography,surgery,Angiography,general
23,"A 24-year-old man recovers from an attack of severe pancreatitis. He has mild epigastric discomfort, sensation of bloating, and loss of appetite. Examination reveals an epigastric fullness. The swelling increases in size over a 3-week period of observation (see report). Ultrasound: Confirmed to be a pseudocyst. Which of the following is the most appropriate next step in management?",Observation,Internal drainage,Percutaneous drainage,Excision of pseudocyst,surgery,Percutaneous drainage,general
24,A 32-year-old diabetic woman has taken contraceptive pills for 12 years develops right upper quadrant pain (see report). CT scan: A 5-cm hypodense lesion in the right lobe of the liver. Which of the following is the most appropriate next step in management?,Excision,Follow up CT scan,Right hepatectomy,Stop oral contraceptive,surgery,Stop oral contraceptive,general
25,A 68-year-old man has been advised to undergo surgical treatment for a left reducible inguinal hernia. He is otherwise healthy. Which of the following is the most appropriate treatment?,Simple repair,Open mesh repair,Laparoscopic repair,Non-surgical treatment,surgery,Open mesh repair,general
26,"A 27-year-old man presented to the Surgical Clinic complaining of right groin pain for few weeks, which is aggravated by exercising. Examination confirmed normal external genitalia and groin region. Which of the following is the most appropriate next step?",MRI,CT scan,Ultrasound,Re-examination after 3 months,surgery,Ultrasound,general
27,"A 42-year-old woman underwent an uneventful laparoscopic cholecystectomy. 2 weeks later, she presents to the Emergency Department with vague abdominal pain (see lab results and report). Blood pressure 117/59 mmHg, Heart rate 83/min Respiratory rate 19/min Temperature 37.4°C Oxygen saturation 95% Test Result Normal Values Hb 103 130-170 g/L (Male) 120-160 q/L (Female) WBC 7.8 .5-10.5x109/L Total bilirubin 3.7 3.5-16.5 mol/L CT scan: Large collection in the sub-hepatic area. Which of the following is most appropriate next step?",Operative drainage,CT-guided drainage,Laparoscopic drainage,ERCP with biliary stent placement,surgery,ERCP with biliary stent placement,general
1287,"A 35-year-old woman presents with abnormal genital bleeding, scanty flow, post-coital spotting. Most appropriate next step?",Pelvic ultrasound,Coagulation profile,Complete blood count,Assess vagina and cervix,obstetrics and gynecology,Assess vagina and cervix,general
1288,A 40-year-old diabetic woman presents with heavy menstrual bleeding. Highest risk factor for endometrial cancer?,Late menarche,Early menopause,Diabetes mellitus,Progesterone-secreting tumor,obstetrics and gynecology,Diabetes mellitus,general
1289,A 43-year-old nulliparous woman on progesterone therapy for AUB has family history of thyroid cancer. Highest risk factor for endometrial cancer?,Nulliparity,Underweight,Progesterone therapy,Family history of thyroid cancer,obstetrics and gynecology,Nulliparity,general
1290,"A 47-year-old woman presents with frequent, heavy, prolonged uterine bleeding. Most appropriate next step in management?",MRI pelvis,Endometrial sampling,Oral progesterone therapy,Progesterone-releasing IUCD,obstetrics and gynecology,Endometrial sampling,general
1291,"A 27-year-old woman with heavy, frequent uterine bleeding. BMI = 21 kg/m². Most appropriate initial management?",GnRH injection,Thermal ablation,Endometrial sampling,Oral contraceptive pills,obstetrics and gynecology,Oral contraceptive pills,general
1292,"A 36-year-old woman with persistent abnormal uterine bleeding for 8 months, BMI = 41 kg/m². Most appropriate next assessment?",Pelvic MRI,Endometrial biopsy,Hysteroscopic resection,CT chest/abdomen/pelvis,obstetrics and gynecology,Endometrial biopsy,general
1293,A 32-year-old married woman presents with vague abdominal pain and irregular menses. Last period 2 months ago. First diagnostic step?,Reassurance,Pregnancy test,Hysterosalpingogram,Administer analgesia,obstetrics and gynecology,Pregnancy test,general
1294,"A 32-year-old married woman with irregular periods, last cycle 2 months ago, is a smoker with prior appendectomy. BP = 90/40 mmHg, Hb = 11 g/L. Most likely diagnosis?",Diverticulitis,Acute cystitis,Tubal pregnancy,Ovarian torsion,obstetrics and gynecology,Tubal pregnancy,general
1295,A 33-year-old woman day 2 post salpingostomy for tubal pregnancy. Labs: hCG = 3500 mIU/mL. Best follow-up approach?,No follow-up required,Outpatient visit at 6 weeks,Pelvic ultrasound at 1 week,Weekly serum hCG until undetectable,obstetrics and gynecology,Weekly serum hCG until undetectable,general
1296,A 29-year-old woman day 2 post salpingectomy for tubal pregnancy. Labs: hCG = 6488 mIU/mL. Best follow-up strategy?,Single post-op hCG to confirm decline,Weekly hCG until undetectable,Pelvic US at 6 days,Hysterosalpingogram at 6 weeks,obstetrics and gynecology,Single post-op hCG to confirm decline,general
1297,A 30-week post laparotomy patient shows plateau in hCG levels after salpingostomy for ectopic pregnancy. Which intervention is most appropriate?,Admit for repeat laparotomy,Initiate oral contraceptives,Consider methotrexate injection,Continue reassurance and follow-up,obstetrics and gynecology,Consider methotrexate injection,general
1376,"A 70-year-old man presents with acute confusion, postural hypotension, dry mucous membranes. Labs: Calcium = 3.41 mmol/L. Most appropriate initial treatment?",IV 0.9% sodium chloride,IV sodium pamidronate,Oral prednisolone,IV furosemide,surgery,IV 0.9% sodium chloride,general
1298,"A healthy 33-year-old G2 P1001 at 6 weeks gestation diagnosed with right tubal ectopic pregnancy. hCG = 3400 mIU/mL. US confirms 3 cm mass, no cardiac activity. Most appropriate medical treatment consideration?",Higher failure rate expected,Medical treatment contraindicated,CT before methotrexate,Medical treatment with hospital access,obstetrics and gynecology,Medical treatment with hospital access,general
1299,A 20-year-old woman recently diagnosed with endometriosis is concerned about malignancy risk. What is the best information to provide?,Protects against cancer,No relationship with cancer,Associated with thyroid cancer,Linked to epithelial ovarian cancer,obstetrics and gynecology,Linked to epithelial ovarian cancer,general
1300,A 21-year-old primigravida at 37 weeks with CTG showing persistent pattern for 90 minutes. Most likely cause?,Fetal anemia,Head compression,Cord compression,Uteroplacental insufficiency,obstetrics and gynecology,Fetal anemia,general
1301,A 30-year-old P3 at 33 weeks presents with intrauterine fetal demise confirmed by ultrasound. Best way to deliver bad news?,Be direct and straightforward,Defer follow-up until after delivery,Be emotionally strong and suppress feelings,Empathetic verbal and nonverbal support,obstetrics and gynecology,Empathetic verbal and nonverbal support,general
1302,"A 30-year-old primigravida at 37 weeks with confirmed IUFD. Stable vital signs, INR normal. Best advice regarding timing of delivery?",Urgent induction,She can go home and decide later,Depends on Bishop score,Waiting not an option,obstetrics and gynecology,She can go home and decide later,general
40,"A 57-year-old man presents with 2 days of abdominal pain, nausea, and vomiting. Examination revealed a distended, tympanic and mildly tender abdomen without rebound or guarding (see lab results and reports). Test Result Normal Values Hb 153 130-170 g/L (Male) 120-160 g/L (Female) WBC 12.6 4.5-10.5 x 109/L Plain Abdominal X-ray: Multiple air-fluid levels. CT scan: Multiple dilated loops of small bowel with a transition point in the distal small bowel, with some adjacent mesenteric fat stranding. Which of the following is the most appropriate next step in management?",Observation,Colonoscopy,Diagnostic laparoscopy,Exploratory laparotomy,surgery,Exploratory laparotomy,general
41,A 35-year-old woman 1-day post total thyroidectomy was observed by the nurses to develop a spasm of her right hand during blood pressure measurement from the right arm. Which of the following is the most appropriate next step?,Reassurance,Give analgesia,Check her calcium level,Recheck the blood pressure,surgery,Check her calcium level,general
42,A 30-year-old man presented to Surgical Clinic with right inguinal hernia. He was complaining of cough for the last 6 months. and did not use any treatment for it. He insisted to have the surgery and threatened the surgeon that he will raise a complain if did not book him for surgery. Which of the following is the most appropriate action?,Do the surgery,Call the social worker,Consult the physician,Inform the administration,surgery,Call the social worker,general
43,"During a laparoscopic cholecystectomy, the surgeon encountered a difficult anatomy and there was a CBD injury, which was repaired and patient did very well. Which of the following is the most appropriate post-operative action?",Talk to the family,Talk to the patient,No need to tell them,Call a colleague to tell them,surgery,Talk to the patient,general
44,"A 32-year-old man was operated for a self-induced rectal injury. After the surgery, the family was asking about the cause of his illness. Which of the following is the most appropriate response?",Inform the police,Tell them the truth,Involve social worker,Refer them to the patient,surgery,Refer them to the patient,general
45,"A 5-year-old girl brought by her family with rectal bleeding. During examination, it was observed that there is an abnormal relation between the parents. Examination confirmed multiple bruises over the child body. which of the following is the most appropriate action?",Inform the police,Admit the patient,Inform the social worker,Talk to the family about your concern,surgery,Admit the patient,general
46,"A 60-year-old woman was admitted for elective laparoscopic cholecystectomy. During the procedure, the surgeon found a big mass in the stomach Which of the following is the most appropriate action?",Cholecystectomy,Stop the procedure,Resection of the mass,Cholecystectomy and mass resection,surgery,Stop the procedure,general
47,"A 28-year-old man is brought to Emergency Room with head injury after motor vehicle accident, he is making incomprehensive sounds, open his eyes to painful stimuli and flexes his limbs to painful stimuli, and his pupils react sluggishly to light. What is his Glasgow Coma Score?",5,6,7,8,surgery,7,general
48,"A 33-year-old woman diagnosed with papillary thyroid cancer and planed for total thyroidectomy, she have mitral valve prolapse with mild regurgitation, no other co-morbidity. Which of the following is most appropriate option to prevent infection?",Amoxicillin to prevent endocarditis,Cefazolin to prevent wound infection,No indication for antibiotic prophylaxis,Administer both cefazolin and amoxicillin,surgery,No indication for antibiotic prophylaxis,general
4574,A young man is hypoxic 24 hours post upper abdominal surgery. Most likely cause?,Pneumonia,Basal atelectasis,Pulmonary embolism,Intra-abdominal bleed,surgery,Basal atelectasis,general
1303,A 32-year-old G2 P1001 at 38 weeks with prior cesarean due to breech now presents with intrauterine fetal demise. Best next step regarding mode of delivery?,Wait for patient decision,Encourage vaginal birth after cesarean,Schedule cesarean section,Counsel on benefits and risks of VBAC vs C-section,obstetrics and gynecology,Counsel on benefits and risks of VBAC vs C-section,general
1304,"A 28-year-old woman presented to Preconception Clinic with a known diagnosis of epilepsy 6 years ago, poorly controlled and frequent epileptic attacks. Which of the following is the most appropriate next step in management?",Reassurance,Review medication,Start her with aspirin,Start her with folic acid,obstetrics and gynecology,Review medication,general
52,A 45-year-old man had transurethral catheterization before going for a long surgical procedure. Postoperatively he developed haematuria and a urethral injury is suspected. Which part of the urethra is most likely injured?,Penile,Prostatic,Membranous,Middle spongy,surgery,Membranous,general
53,"A patient presented after a blunt injury over the left leg. Examination confirmed a sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which nerve is most likely injured?",Sural,Saphenous,Deep peroneal,Posterior tibial,surgery,Deep peroneal,general
1305,A 38-year-old presented to Labor Ward with severe abruptio placenta. She was diagnosed with intrauterine fetal death and disseminated intravascular coagulopathy (DIC). Vaginal examination revealed 6 cm dilated cervix. Which of the following is the most appropriate management?,Observation,Cesarean section,Augmentation of labor,Total abdominal hysterectomy,obstetrics and gynecology,Augmentation of labor,general
4575,An elderly woman develops hypoxia after pelvic surgery for ovarian cancer. Most likely cause?,Pneumonia,Pelvic abscess,Atelectasis,Pulmonary embolism,surgery,Pulmonary embolism,general
